case_name,mass_eV,A_unit,phi_amp_max,Rtau_max_unit,L_peak,nphi,Lcut,spectrum_ratio_at_peak,phi_needed_target_1,ratio_phi_needed_over_phi_amp_max,phi_needed_target_0.1,phi_needed_target_10
nphi_1_no_cut,1.7012542798525856e-32,-548858730.8604189,69154.1753405218,3.1678936076788454e+17,330,1.0,,1.0515972300164098,1.7767024704329444e-09,2.5691904526144526e-14,5.618426531016071e-10,5.618426531016071e-09
nphi_1_no_cut,2.89426612471674e-32,-1499842672.2617881,43317.355803863546,2.36559745732495e+18,330,1.0,,1.0515972300164098,6.501739689589183e-10,1.5009548872346642e-14,2.0560306172617966e-10,2.0560306172617963e-09
nphi_1_no_cut,4.9238826317067517e-32,-3654765863.9638386,30736.448436477724,1.4046513898508483e+19,330,1.0,,1.0515972300164098,2.6681836794348625e-10,8.68084575532249e-15,8.437537642702734e-11,8.437537642702734e-10
nphi_1_no_cut,8.376776400682924e-32,-6040875794.899543,31808.593801022034,3.83750757937236e+19,330,1.0,,1.0515972300164098,1.614267030389446e-10,5.0749399375761724e-15,5.1047605677468956e-11,5.104760567746895e-10
nphi_1_no_cut,1.4251026703029963e-31,456820772.20893806,36698.473199911256,2.1945279711169434e+17,330,1.0,,1.0515972300164098,2.1346635756580363e-09,5.816763994593645e-14,6.750398937278561e-10,6.750398937278561e-09
nphi_1_no_cut,2.4244620170823406e-31,-324525738.507442,36442.30682590944,1.1075101810317974e+17,330,1.0,,1.0515972300164098,3.0048731035120488e-09,8.245562274273125e-14,9.502243086876978e-10,9.502243086876979e-09
nphi_1_no_cut,4.124626382901364e-31,4211369702.025738,37683.23269184577,1.865074439370753e+19,330,1.0,,1.0515972300164098,2.3155380126549554e-10,6.144743556345717e-15,7.322374128689452e-11,7.322374128689451e-10
nphi_1_no_cut,7.0170382867038365e-31,-4840490436.70322,36888.20371329882,2.463928870579605e+19,330,1.0,,1.0515972300164098,2.0145864882703117e-10,5.461329871001605e-15,6.370681846334274e-11,6.370681846334274e-10
nphi_1_no_cut,1.1937766417144357e-30,4675447428.029609,36435.795875070624,2.2987714227414495e+19,330,1.0,,1.0515972300164098,2.0857012682727601e-10,5.724319225588255e-15,6.595566526443804e-11,6.595566526443805e-10
nphi_1_no_cut,2.0309176209047306e-30,-4015721579.3411074,35463.48688785832,1.6958077755799357e+19,330,1.0,,1.0515972300164098,2.42835227435862e-10,6.847471829370558e-15,7.67912414822334e-11,7.67912414822334e-10
nphi_1_no_cut,3.4551072945922325e-30,-3750917803.223794,35540.83846494142,1.479532562789092e+19,330,1.0,,1.0515972300164098,2.599786810044942e-10,7.314928184965168e-15,8.221247750605534e-11,8.221247750605534e-10
nphi_1_no_cut,5.878016072274924e-30,5947875631.44551,34913.456244120105,3.720259131841251e+19,330,1.0,,1.0515972300164098,1.6395074871486585e-10,4.695918604233786e-15,5.1845779002889995e-11,5.184577900288999e-10
nphi_1_no_cut,1e-29,5847092972.245209,34305.71125297062,3.5952527929771483e+19,330,1.0,,1.0515972300164098,1.667766645181201e-10,4.861483946165916e-15,5.2739412044304757e-11,5.273941204430476e-10
nphi_1_no_cut,1.7012542798525858e-29,3012473655.0639086,33438.01004611117,9.54324225701852e+18,330,1.0,,1.0515972300164098,3.2370695139496883e-10,9.680807887448309e-15,1.0236512608375214e-10,1.0236512608375215e-09
nphi_1_no_cut,2.89426612471674e-29,-1429564348.450455,32443.80484039574,2.1491011235521083e+18,330,1.0,,1.0515972300164098,6.821369489910677e-10,2.1025183462506217e-14,2.1571064349698708e-10,2.1571064349698705e-09
nphi_1_no_cut,4.923882631706752e-29,-1683875599.3636212,31174.218698666704,2.9817377309793603e+18,330,1.0,,1.0515972300164098,5.791156207780039e-10,1.857674851054959e-14,1.8313243902408247e-10,1.8313243902408247e-09
nphi_1_no_cut,8.376776400682924e-29,-6996192547.614638,29692.46757277054,5.147222482614087e+19,330,1.0,,1.0515972300164098,1.3938419453176409e-10,4.69426106773242e-15,4.407715245483611e-11,4.4077152454836113e-10
nphi_1_no_cut,1.4251026703029963e-28,-905708374.6202744,27996.455704832708,8.626332628671793e+17,330,1.0,,1.0515972300164098,1.0766806296201468e-09,3.8457747686764927e-14,3.404763102183816e-10,3.4047631021838154e-09
nphi_1_no_cut,2.4244620170823407e-28,-175776521.27101412,26132.756370924297,3.2491604933083844e+16,330,1.0,,1.0515972300164098,5.547718523424905e-09,2.12289834439255e-13,1.7543426351528886e-09,1.7543426351528884e-08
nphi_1_no_cut,4.124626382901365e-28,5601892846.67588,24153.108286591185,3.30003866390467e+19,330,1.0,,1.0515972300164098,1.7407663618861406e-10,7.207214662522515e-15,5.5047865777651275e-11,5.504786577765127e-10
nphi_1_no_cut,7.017038286703837e-28,6999751049.4014,22121.246137622013,5.152459919533971e+19,330,1.0,,1.0515972300164098,1.3931333502522063e-10,6.2977164197042166e-15,4.405474471138082e-11,4.405474471138082e-10
nphi_1_no_cut,1.1937766417144358e-27,10127134845.424482,20095.009811562377,1.0785061327620543e+20,330,1.0,,1.0515972300164098,9.629166372549893e-11,4.791819691976169e-15,3.0450097705959116e-11,3.045009770595912e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,1.2840377653538783e+20,330,1.0,,1.0515972300164098,8.824926590622818e-11,4.868960933582658e-15,2.7906868210152436e-11,2.790686821015244e-10
nphi_1_no_cut,3.455107294592232e-27,-4336727160.012378,16250.260646483768,1.9777602011702903e+19,330,1.0,,1.0515972300164098,2.248605058741149e-10,1.3837347644191185e-14,7.110713543798742e-11,7.110713543798742e-10
nphi_1_no_cut,5.878016072274924e-27,13935403275.476799,14497.44448872209,2.0421541249754844e+20,330,1.0,,1.0515972300164098,6.997706803034962e-11,4.8268553871536776e-15,2.212869189564575e-11,2.2128691895645748e-10
nphi_1_no_cut,1e-26,-2632126036.501822,12881.91649163101,7.285557594898971e+18,330,1.0,,1.0515972300164098,3.7048327075340715e-10,2.87599497321768e-14,1.1715709705696124e-10,1.1715709705696124e-09
nphi_2_Lcut_800,1e-35,-195.4023529707972,113801412.91373985,56349.54980622341,366,2.0,800.0,1.475811440221917,0.004212644146661353,3.701750302392545e-11,0.0013321550475226284,0.013321550475226283
nphi_2_Lcut_800,1.7012542798525996e-35,-565.5464092138668,66892654.86632268,472027.5762023953,366,2.0,800.0,1.475811440221917,0.0014555137563874063,2.175894736568737e-11,0.0004602738635891656,0.004602738635891656
nphi_2_Lcut_800,2.89426612471674e-35,-1636.841689175934,39319612.510433145,3954068.8570459746,366,2.0,800.0,1.475811440221917,0.0005028956581016113,1.2789944406704721e-11,0.00015902957050104008,0.0015902957050104008
nphi_2_Lcut_800,4.923882631706751e-35,-4737.453435648046,23112135.628399014,33122322.48629164,366,2.0,800.0,1.475811440221917,0.00017375591964497749,7.517951713275474e-12,5.4946446301532446e-05,0.0005494644630153244
nphi_2_Lcut_800,8.376776400682855e-35,-13711.444315491368,13585357.612748396,277458018.9630926,366,2.0,800.0,1.475811440221917,6.0034563795461504e-05,4.41906392947106e-12,1.8984595992834132e-05,0.0001898459599283413
nphi_2_Lcut_800,1.4251026703029962e-34,-39684.51261272217,7985507.19316363,2324197203.6183524,366,2.0,800.0,1.475811440221917,2.0742615299813296e-05,2.597532604763163e-12,6.559390897606642e-06,6.559390897606642e-05
nphi_2_Lcut_800,2.4244620170823406e-34,-114857.09003181722,4693914.639152138,19469127559.641983,366,2.0,800.0,1.475811440221917,7.166824253150207e-06,1.5268331028799348e-12,2.2663488230089828e-06,2.2663488230089827e-05
nphi_2_Lcut_800,4.124626382901331e-34,-332423.1709979325,2759125.7454037378,163084786144.37222,366,2.0,800.0,1.475811440221917,2.476243085026718e-06,8.974738063865857e-13,7.830568188926419e-07,7.830568188926418e-06
nphi_2_Lcut_800,7.017038286703837e-34,-962089.1741456378,1621878.3933418072,1366034060747.9873,366,2.0,800.0,1.475811440221917,8.555969660684252e-07,5.275345978963973e-13,2.7056351719060243e-07,2.705635171906024e-06
nphi_2_Lcut_800,1.1937766417144455e-33,-2784274.4947711197,953444.5477824039,11440762516074.012,366,2.0,800.0,1.475811440221917,2.956463452264437e-07,3.1008237019560407e-13,9.349158328200113e-08,9.349158328200112e-07
nphi_2_Lcut_800,2.0309176209047304e-33,-8056189.936164844,560609.5050004976,95783403776714.95,366,2.0,800.0,1.475811440221917,1.0217740458067587e-07,1.822612775368216e-13,3.231133238794575e-08,3.2311332387945755e-07
