mass_eV,A_unit_saved,A_unit_reconstructed,A_unit_abs,rel_diff_A_unit,phi_unit_at_eval,dphi_dx_unit_at_eval,dotphi_phys_unit_at_eval,dotphi_phys_from_dx,rel_diff_dotphi,omega_phi_abs,kinetic_density,potential_density,rho_unit_at_eval,kinetic_fraction,potential_fraction,phi_amp_max,A_times_phi_amp_max
8.376776400682924e-29,-6996192547.614638,-6758793258.778834,6996192547.614638,-0.033932640821434455,1.6994802609989097e-06,-1.78281712204838,-5.62490731337113e-17,-5.62490731337113e-17,-0.0,2.1628543818061807e-19,1.5819791142008013e-33,2.338969538449098e-38,1.5820025038961857e-33,0.9999852151337771,1.4784866222958811e-05,30737.129082981093,215042873425421.5
1.4251026703029963e-28,-905708374.6202744,-901110524.626054,905708374.6202744,-0.0050765236615462036,0.0002826607819619454,-0.23769261917793733,-7.499361181881429e-18,-7.499361181881429e-18,-0.0,6.11992278713287e-17,2.812020906815501e-35,1.872672746023408e-33,1.9007929550915635e-33,0.014793935863888146,0.9852060641361117,28041.38611178901,25397318237407.96
2.4244620170823407e-28,-175776521.27101412,-217584223.6543117,175776521.27101412,0.23784577189827302,0.00017402926417164875,-0.05739380752838685,-1.810813031331643e-18,-1.810813031331643e-18,-0.0,6.410204747084895e-17,1.639521917220247e-36,2.054536244977486e-33,2.056175766894707e-33,0.0007973646726205212,0.9992026353273793,26961.04777718403,4739119188095.017
4.124626382901365e-28,5601892846.67588,5444686311.968003,5601892846.67588,-0.02806310991849162,-8.330438197614056e-05,1.4361853676395517,4.531260934105555e-17,4.531260934105555e-17,0.0,5.2201946241192335e-17,1.0266162826475575e-33,1.3625215956841673e-33,2.3891378783317246e-33,0.42970156388145253,0.5702984361185476,25011.876598778217,140113852600635.55
7.017038286703837e-28,6999751049.4014,6936579904.285019,6999751049.4014,-0.009024770262619972,-4.8644793908256976e-05,1.8297132266552607,5.772867661356111e-17,5.772867661356111e-17,0.0,5.1859036881285823e-17,1.6663000517765588e-33,1.3446798531272817e-33,3.0109799049038403e-33,0.5534078952379373,0.4465921047620628,22279.885557159894,155953652309273.06
1.1937766417144358e-27,10127134845.424482,9377447743.544182,10127134845.424482,-0.07402756192379674,-8.522775685792752e-06,2.473559074556622,7.804244393021653e-17,7.804244393021653e-17,0.0,1.5457468426487368e-17,3.0453115273004953e-33,1.1946666507792693e-34,3.164778192378422e-33,0.9622511728102676,0.037748827189732465,21731.77728516585,220080638997607.3
2.0309176209047306e-27,11050048439.7749,10151924989.354269,11050048439.7749,-0.08127778401294745,-7.443888245325047e-06,2.6778486927771046,8.448791808100272e-17,8.448791808100272e-17,0.0,2.2968169531242444e-17,3.569104150831113e-33,2.637684058079469e-34,3.83287255663906e-33,0.9311825786247279,0.06881742137527216,19747.162257012587,218207099488083.75
3.455107294592232e-27,-4336727160.012378,-4075145198.2214875,4336727160.012378,-0.06031782773951212,-1.767713804165611e-05,-1.0749313310901858,-3.391480276268555e-17,-3.391480276268555e-17,-0.0,9.279139946893733e-17,5.7510692321593176e-34,4.305121907701951e-33,4.880228830917882e-33,0.1178442534441084,0.8821557465558918,17500.35228137274,75894253048413.73
5.878016072274924e-27,13935403275.476799,12840437136.467073,13935403275.476799,-0.07857441348228664,-2.8168550198424747e-06,3.387017519990762,1.06862669104404e-16,1.06862669104404e-16,0.0,2.515529977113806e-17,5.70981502405867e-33,3.1639455328790926e-34,6.026209577346579e-33,0.9474969217006186,0.052503078299381355,15748.702119865331,219464515105679.75
1e-26,-2632126036.501822,-2421641798.402621,2632126036.501822,-0.07996738574834408,-8.13555478465825e-06,-0.6387744522370955,-2.015376139003433e-17,-2.015376139003433e-17,-0.0,1.2360083562337746e-16,2.030870490832193e-34,7.638583283398587e-33,7.841670332481805e-33,0.025898442611389964,0.9741015573886103,13805.832311163542,36338690681791.68
