mass_eV,A_unit,phi_unit_at_eval,dphi_dx_unit_at_eval,dotphi_phys_unit_at_eval,rho_unit_at_eval,rho_phi_max_at_eval,phi_amp_max
5.878016072274924e-30,5947875631.44551,0.00016004308759149863,1.5689153536072622,4.950032921170397e-17,1.2261626442886117e-33,1.4946302525541625e-24,34913.456244120105
1e-29,5847092972.245209,0.0008633226763819773,1.542331162680208,4.866158019972548e-17,1.269991787915895e-33,1.4946302525541625e-24,34305.71125297062
1.7012542798525858e-29,3012473655.0639086,-0.0017496041674678528,0.7946225615041178,2.5070873519762618e-17,1.3367583963827828e-33,1.4946302525541625e-24,33438.01004611117
2.89426612471674e-29,-1429564348.450455,-0.0011813408247815453,-0.37708681119621834,-1.189734121263307e-17,1.4199407007423415e-33,1.4946302525541625e-24,32443.80484039574
4.923882631706752e-29,-1683875599.3636212,0.000717328058802217,-0.4441683796209718,-1.4013809582598398e-17,1.537951403849083e-33,1.4946302525541625e-24,31174.218698666704
8.376776400682924e-29,-6996192547.614638,5.160821587476088e-06,-1.845437696564229,-5.82247941608742e-17,1.6952790175365672e-33,1.4946302525541625e-24,29692.46757277054
1.4251026703029963e-28,-905708374.6202744,0.00028309954151655917,-0.23890542823725558,-7.537626119227576e-18,1.9068988659387862e-33,1.4946302525541625e-24,27996.455704832708
2.4244620170823407e-28,-175776521.27101412,0.00017957292444539273,-0.04636587920025914,-1.4628745134821666e-18,2.1885845505615876e-33,1.4946302525541625e-24,26132.756370924297
4.124626382901365e-28,5601892846.67588,-8.6683321671985e-05,1.4776529034916153,4.662093784428283e-17,2.5620506522222783e-33,1.4946302525541625e-24,24153.108286591185
7.017038286703837e-28,6999751049.4014,-4.8876714402323185e-05,1.8463763490235328,5.825440927404399e-17,3.05432039645238e-33,1.4946302525541625e-24,22121.246137622013
1.1937766417144358e-27,10127134845.424482,-9.538256059588066e-06,2.671309612298698,8.428160571642631e-17,3.701325875572538e-33,1.4946302525541625e-24,20095.009811562377
2.0309176209047306e-27,11050048439.7749,-8.21403863454595e-06,2.9147533891951114,9.196241977258707e-17,4.54971450570855e-33,1.4946302525541625e-24,18124.866292836112
3.455107294592232e-27,-4336727160.012378,-1.9066874030306006e-05,-1.1439307489513653,-3.609178056565713e-17,5.659956664108134e-33,1.4946302525541625e-24,16250.260646483768
5.878016072274924e-27,13935403275.476799,-3.112069181339597e-06,3.6758448751039223,1.1597536542073187e-16,7.111330442720145e-33,1.4946302525541625e-24,14497.44448872209
1e-26,-2632126036.501822,-8.715741575257392e-06,-0.6942954438160513,-2.1905485825007594e-17,9.006847500577256e-33,1.4946302525541625e-24,12881.91649163101
