template_name,L_peak,sigma_log,L,D_shape_unit_peak,C_shape_unit_peak
Lpeak_20_siglog_0.8,20.0,0.8,77,0.24177044611227966,0.0002529284906298584
Lpeak_20_siglog_0.8,20.0,0.8,78,0.2352571940690475,0.000239883892434751
Lpeak_20_siglog_0.8,20.0,0.8,79,0.22894062885632313,0.00022760702459596587
Lpeak_20_siglog_0.8,20.0,0.8,80,0.2228145052945952,0.0002160470410329458
Lpeak_20_siglog_0.8,20.0,0.8,81,0.21687275851933274,0.00020515683978563354
Lpeak_20_siglog_0.8,20.0,0.8,82,0.2111095021717855,0.00019489275966085213
Lpeak_20_siglog_0.8,20.0,0.8,83,0.20551902611372053,0.0001852143036752132
Lpeak_20_siglog_0.8,20.0,0.8,84,0.20009579374483866,0.0001760838867347349
Lpeak_20_siglog_0.8,20.0,0.8,85,0.1948344389917866,0.00016746660525386746
Lpeak_20_siglog_0.8,20.0,0.8,86,0.1897297630290218,0.00015933002665044298
Lpeak_20_siglog_0.8,20.0,0.8,87,0.18477673078413812,0.00015164399686149092
Lpeak_20_siglog_0.8,20.0,0.8,88,0.17997046727351912,0.0001443804642108299
Lpeak_20_siglog_0.8,20.0,0.8,89,0.175306253808237,0.0001375133181254195
Lpeak_20_siglog_0.8,20.0,0.8,90,0.17077952410486597,0.00013101824134588715
Lpeak_20_siglog_0.8,20.0,0.8,91,0.1663858603312591,0.00012487257440943643
Lpeak_20_siglog_0.8,20.0,0.8,92,0.162120989113251,0.0001190551913022207
Lpeak_20_siglog_0.8,20.0,0.8,93,0.15798077752466547,0.00011354638528480726
Lpeak_20_siglog_0.8,20.0,0.8,94,0.1539612290798351,0.0001083277639898914
Lpeak_20_siglog_0.8,20.0,0.8,95,0.15005847974505784,0.00010338215297717687
Lpeak_20_siglog_0.8,20.0,0.8,96,0.14626879398296463,9.869350700737127e-05
Lpeak_20_siglog_0.8,20.0,0.8,97,0.1425885608416162,9.424682836649751e-05
Lpeak_20_siglog_0.8,20.0,0.8,98,0.13901429009825633,9.002809163403059e-05
Lpeak_20_siglog_0.8,20.0,0.8,99,0.13554260846598806,8.602417434447389e-05
Lpeak_20_siglog_0.8,20.0,0.8,100,0.13217025587018122,8.222279304254347e-05
Lpeak_50_siglog_0.3,50.0,0.3,2,1.0026220011830477e-25,1.0499433044147198e-25
Lpeak_50_siglog_0.3,50.0,0.3,3,7.987875689878375e-20,4.182441930851734e-20
Lpeak_50_siglog_0.3,50.0,0.3,4,4.0583526034625735e-16,1.2749690724715032e-16
Lpeak_50_siglog_0.3,50.0,0.3,5,1.6138404420645206e-13,3.380019517904002e-14
Lpeak_50_siglog_0.3,50.0,0.3,6,1.4238137438868747e-11,2.130020379940564e-12
Lpeak_50_siglog_0.3,50.0,0.3,7,4.712868214979484e-10,5.2878257719701395e-11
Lpeak_50_siglog_0.3,50.0,0.3,8,7.891127697555132e-09,6.886308000882818e-10
Lpeak_50_siglog_0.3,50.0,0.3,9,8.039627039774204e-08,5.612718499056999e-09
