template_name,mass_eV,A_unit,phi_amp_max,A_tau_eff,L_peak_template,sigma_log,L_at_window_peak,max_shape_in_window,D_peak_limit,C_limit_at_window_peak
Lpeak_20_siglog_0.8,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,20.0,0.8,20,1.0,8.698125684113892e-32,1.3012365594863285e-33
Lpeak_50_siglog_0.3,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,50.0,0.3,50,1.0,8.698125684113892e-32,2.1432131568010118e-34
Lpeak_50_siglog_0.5,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,50.0,0.5,50,1.0,8.698125684113892e-32,2.1432131568010118e-34
Lpeak_50_siglog_0.8,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,50.0,0.8,50,1.0,8.698125684113892e-32,2.1432131568010118e-34
Lpeak_100_siglog_0.3,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,100.0,0.3,100,1.0,8.698125684113892e-32,5.411082722616416e-35
Lpeak_100_siglog_0.5,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,100.0,0.5,100,1.0,8.698125684113892e-32,5.411082722616416e-35
Lpeak_100_siglog_0.8,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,100.0,0.8,100,1.0,8.698125684113892e-32,5.411082722616416e-35
Lpeak_300_siglog_0.3,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,300.0,0.3,100,0.0012244396055465887,7.103760483336421e-29,4.41923202917053e-32
Lpeak_300_siglog_0.5,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,300.0,0.5,100,0.08946588302508399,9.722282271192871e-31,6.048208031545706e-34
Lpeak_300_siglog_0.8,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,300.0,0.8,100,0.38948540883852695,2.233235311703285e-31,1.3892902275216538e-34
Lpeak_600_siglog_0.3,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,600.0,0.3,100,1.795195809217216e-08,4.845223924573808e-24,3.0142019577106103e-27
Lpeak_600_siglog_0.5,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,600.0,0.5,100,0.0016273473358526908,5.344971840050535e-29,3.325093914128134e-32
Lpeak_600_siglog_0.8,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,600.0,0.8,100,0.08142063319517609,1.0682950184461632e-30,6.645837191716908e-34
