mass_eV,A_unit,phi_unit_at_eval,dphi_dx_unit_at_eval,dotphi_phys_unit_at_eval,rho_unit_at_eval,rho_phi_max_at_eval,phi_amp_max
6.235507341273925e-34,-759724.0232178504,0.9999332076895269,-0.00020039805106703083,-6.322692603137754e-21,4.486869005192722e-37,1.4946302525541625e-24,1825135.821737103
8.376776400682857e-34,-1371046.2760191327,0.9998794604060599,-0.00036165106438678296,-1.1410333072303003e-20,8.09696996668753e-37,1.4946302525541625e-24,1358643.827433818
1.1253355826007646e-33,-2474213.089952753,0.999782465899026,-0.0006526415724633335,-2.0591278312052348e-20,1.4610888418171118e-36,1.4946302525541625e-24,1011413.0948778471
1.5117750706156723e-33,-4464797.336775036,0.9996074320817968,-0.0011777127711577204,-3.715762597076894e-20,2.636243513989045e-36,1.4946302525541625e-24,752963.8430960593
2.0309176209047304e-33,-8056189.936164844,0.9992915912513224,-0.002125041084518031,-6.704646814130843e-20,4.755682525770468e-36,1.4946302525541625e-24,560609.5050004976
2.7283333764867805e-33,-14534208.799942054,0.9987217378889093,-0.003833796257979436,-1.209588372401676e-19,8.576161711028299e-36,1.4946302525541625e-24,417465.32024750527
3.665241237079611e-33,-26214012.85280783,0.9976938042885649,-0.006914664964915061,-2.1816230643989963e-19,1.5456363605780266e-35,1.4946302525541625e-24,310966.2248613394
4.923882631706752e-33,-47256300.5848539,0.9958402756112149,-0.012465145563952998,-3.932836833222438e-19,2.782543459084826e-35,1.4946302525541625e-24,231763.96183557922
6.614740641230106e-33,-85113023.97150044,0.9925003964449115,-0.022450894802650237,-7.083407535488447e-19,4.999313054308253e-35,1.4946302525541625e-24,172906.6584451214
8.886238162743407e-33,-153048033.58662713,0.9864898323989956,-0.04037061710974328,-1.2737199829278868e-18,8.949810575885731e-35,1.4946302525541625e-24,129228.99369545488
1.1937766417144358e-32,-274400592.1895619,0.9756976084056055,-0.07238068325589747,-2.2836589886747153e-18,1.5917991180614272e-34,1.4946302525541625e-24,96899.77181973698
1.6037187437513276e-32,-489364899.7908997,0.9563994028078362,-0.12908341605855508,-4.072668149992063e-18,2.797955878962959e-34,1.4946302525541625e-24,73088.06318438337
2.1544346900318777e-32,-864333112.7800598,0.9221482329727001,-0.22799156796461614,-7.193286524854899e-18,4.81390808489729e-34,1.4946302525541625e-24,55720.88266228558
2.89426612471674e-32,-1499842672.2617881,0.8621808748201194,-0.3956246469018696,-1.2482222333333685e-17,7.965442221154684e-34,1.4946302525541625e-24,43317.355803863546
3.8881551803081015e-32,-2518746543.4431815,0.759786499767447,-0.6643884924158794,-2.0961901496749737e-17,1.2268846032840705e-33,1.4946302525541625e-24,34903.18233859324
5.223345074266854e-32,-3975311242.037782,0.5929380264247192,-1.0485973866075733,-3.308394919347613e-17,1.6542914152425487e-33,1.4946302525541625e-24,30058.055100085407
7.017038286703837e-32,-5545682607.059063,0.34451946900702074,-1.4628259108930264,-4.615313630663954e-17,1.7395431776917203e-33,1.4946302525541625e-24,29312.258215614987
9.426684551178854e-32,-5866936571.383643,0.03778836191259175,-1.547565456281527,-4.8826725665260176e-17,1.2066690022472339e-33,1.4946302525541625e-24,35194.338440124804
1.2663801734674023e-31,-2310205480.624228,-0.19663536575691942,-0.6093800666202113,-1.9226348855211388e-17,9.004585481501555e-34,1.4946302525541625e-24,40741.31303866786
1.7012542798525856e-31,4646011180.8432455,-0.134320925511802,1.2255128933966095,3.8665751811812244e-17,1.3501689631612884e-33,1.4946302525541625e-24,33271.53394792044
2.2854638641349834e-31,2145602808.312885,0.11883652091610966,0.5659615965922343,1.785646707330911e-17,1.0107353573227961e-33,1.4946302525541625e-24,38454.58732276574
3.0702906297578623e-31,-4950122613.766008,-0.04249022131327786,-1.3057306258921482,-4.119667494798773e-17,1.0449983659375723e-33,1.4946302525541625e-24,37818.9161765728
4.124626382901331e-31,4211369702.0261436,0.04724988815074643,1.1108642807347153,3.504851136771782e-17,1.0525372247231782e-33,1.4946302525541625e-24,37683.23269184554
5.541020330009503e-31,3043657657.6329875,-0.04965510314908278,0.802848197588184,2.533039784221939e-17,1.1944811295671357e-33,1.4946302525541625e-24,35373.43523405323
7.443803013251696e-31,2053147948.7720647,-0.04008583648163658,0.5415740912647324,1.7087024961860618e-17,1.1735501313450514e-33,1.4946302525541625e-24,35687.49469666362
9.999999999999999e-31,4408707113.826856,0.019564388682093477,1.1629174362476546,3.66908232543816e-17,1.1148526373342697e-33,1.4946302525541625e-24,36614.92521670813
