case_name,mass_eV,A_unit,phi_amp_max,A_tau_eff,L,Claa_limit,patchy_power_if_phi_amp_max,patchy_budget_fraction,template_scale_limit,genuine_shape_toy
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,53,2.1953827069111064e-07,1.8988225657473357e+17,8.649164265391207e+23,1.1561810705820483e-24,5.660377358490566e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,54,2.1155506084779752e-07,1.94621019506618e+17,9.199544493366544e+23,1.0870103413501217e-24,5.555555555555555e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,55,2.0399952296037619e-07,1.9945809772987462e+17,9.777380595572096e+23,1.022768818524741e-24,5.454545454545456e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,56,1.968416449617665e-07,2.0439495536762218e+17,1.0383725222745563e+24,9.630455145418321e-25,5.357142857142857e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,57,1.900540020320504e-07,2.0943306255435645e+17,1.1019660744583426e+24,9.07468953154059e-25,5.263157894736843e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,58,1.8361149348859105e-07,2.1457389498948016e+17,1.1686299746960721e+24,8.557028500488976e-25,5.172413793103449e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,59,1.774911103723047e-07,2.198189334769856e+17,1.2384785526209975e+24,8.074423233924365e-25,5.084745762711866e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,60,1.7167172970436028e-07,2.251696634512342e+17,1.311629257997248e+24,7.6241056220941515e-25,5e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,61,1.6613393197196156e-07,2.3062757448877517e+17,1.388202709412176e+24,7.203558912685327e-25,4.918032786885246e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,62,1.6085983889348658e-07,2.3619415980616253e+17,1.4683227425246807e+24,6.810491801554257e-25,4.838709677419356e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,63,1.5583296892806513e-07,2.4187091574373046e+17,1.5521164578169705e+24,6.442815517892811e-25,4.761904761904762e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,64,1.5103810834566313e-07,2.476593412353046e+17,1.6397142677960175e+24,6.098623520207127e-25,4.687500000000001e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,65,1.4646119597155213e-07,2.5356093726382688e+17,1.731249943589681e+24,5.776173473406953e-25,4.615384615384615e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,66,1.420892199724013e-07,2.595772063028915e+17,1.8268606608813143e+24,5.473871222984133e-25,4.545454545454546e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,67,1.379101252673307e-07,2.6570965174418662e+17,1.9266870451253963e+24,5.19025652105797e-25,4.477611940298508e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,68,1.3391273033204575e-07,2.7195977731086307e+17,2.0308732159856665e+24,4.92399029210033e-25,4.4117647058823534e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,69,1.3008665232255872e-07,2.7832908645684154e+17,2.1395668309359334e+24,4.673843254349571e-25,4.3478260869565215e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,70,1.264222395810782e-07,2.8481908175210038e+17,2.252919127962749e+24,4.438685737043175e-25,4.285714285714286e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,71,1.2291051070382602e-07,2.914312642539798e+17,2.3710849673079095e+24,4.217478554281348e-25,4.225352112676056e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,72,1.195430994516664e-07,2.98167132864563e+17,2.4942228721877646e+24,4.009264814105674e-25,4.1666666666666673e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,73,1.1631220487189163e-07,3.0502818367419315e+17,2.6224950684251643e+24,3.813162556681224e-25,4.10958904109589e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,74,1.1321054607530786e-07,3.120159092912086e+17,2.7560675229289596e+24,3.6283581286762837e-25,4.0540540540540546e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,75,1.1023132117858924e-07,3.1913179815798035e+17,2.895109980954913e+24,3.4541002123524288e-25,4e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,76,1.0736816997914535e-07,3.26377333853355e+17,3.03979600208096e+24,3.2896944377695993e-25,3.947368421052632e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,77,1.046151399796801e-07,3.337539943816116e+17,3.1903029948288385e+24,3.134498515096841e-25,3.8961038961038965e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,78,1.0196665542323249e-07,3.412632514480579e+17,3.346812249863235e+24,2.9879178314853615e-25,3.846153846153846e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,79,9.941748903765168e-08,3.489065697214052e+17,3.509508971698795e+24,2.8494014634644033e-25,3.79746835443038e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,80,9.696273622190719e-08,3.566854060830627e+17,3.6785823088444913e+24,2.71843856149604e-25,3.75e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,81,9.459779143600701e-08,3.64601208863523e+17,3.854225382314199e+24,2.5945550682860385e-25,3.7037037037037036e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,82,9.231832658212733e-08,3.7265541706600134e+17,4.0366353124315273e+24,2.477310736791913e-25,3.658536585365854e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,83,9.012027118731478e-08,3.8084945957752704e+17,4.2260132438564494e+24,2.366296417678639e-25,3.6144578313253013e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,84,8.799979421820149e-08,3.891847543676761e+17,4.422564368760522e+24,2.2611315893187606e-25,3.5714285714285715e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,85,8.595328737591773e-08,3.976627076751681e+17,4.62649794807714e+24,2.1614621063770683e-25,3.5294117647058825e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,86,8.397734973509203e-08,4.0628471318254464e+17,4.838027330752597e+24,2.0669581456135372e-25,3.488372093023256e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,87,8.206877360474903e-08,4.150521511791774e+17,5.057369970923506e+24,1.9773123298262358e-25,3.4482758620689656e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,88,8.022453150127153e-08,4.239663877128516e+17,5.284747442945577e+24,1.8922380128777295e-25,3.409090909090909e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,89,7.844176413457661e-08,4.3302877373019974e+17,5.520385454198671e+24,1.8114677105371767e-25,3.3707865168539324e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,90,7.671776931843207e-08,4.422406442062564e+17,5.764513855592572e+24,1.734751663455241e-25,3.3333333333333337e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,91,7.50499917245531e-08,4.51603317263439e+17,6.017366649698029e+24,1.6618565199948106e-25,3.296703296703297e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,92,7.343601340789605e-08,4.611180932802527e+17,6.279181996427273e+24,1.592564127889556e-25,3.260869565217392e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,93,7.187354503751529e-08,4.7078625399005114e+17,6.550202216188424e+24,1.5266704248130863e-25,3.2258064516129036e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,94,7.036041777356759e-08,4.8060906157017734e+17,6.830673790438017e+24,1.463984418930764e-25,3.1914893617021276e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,95,6.889457573661827e-08,4.90587757721847e+17,7.12084735955626e+24,1.404327251388121e-25,3.1578947368421056e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,96,6.747406902039933e-08,5.0072356274112634e+17,7.420977717969601e+24,1.3475313334771778e-25,3.125e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,97,6.60970472036565e-08,5.110176745813909e+17,7.731323806445643e+24,1.2934395519254994e-25,3.0927835051546394e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,98,6.476175332075434e-08,5.214712679076491e+17,8.052148701485696e+24,1.2419045363823082e-25,3.0612244897959184e-10
