case_name,mass_eV,A_unit,A_unit_abs,Rtau_max_unit,sqrt_Rtau_max_unit,spectrum_ratio_at_peak,sqrt_spectrum_ratio_at_peak,phi_needed,phi_amp_max,ratio_phi_needed_over_phi_amp_max,log10_ratio,L_peak,nphi,Lcut
nphi_1_Lcut_800,8.376776400682924e-32,-6040875794.899543,6040875794.899543,4.5736018759729545e+19,6762841027.240663,1.2533101145711985,1.1195133382730187,1.478668500371381e-10,32392.66516449916,4.564825070312313e-15,-14.340575860507276,340,1.0,800.0
nphi_1_Lcut_800,1.4251026703029963e-31,456820772.20893806,456820772.20893806,2.61547294382599e+17,511416947.6880865,1.2533101145711985,1.1195133382730187,1.9553517037724387e-09,38389.384829169794,5.093469750749129e-14,-13.292986268699062,340,1.0,800.0
nphi_1_Lcut_800,2.4244620170823406e-31,-324525738.507442,324525738.507442,1.319948048794376e+17,363310892.8719831,1.2533101145711985,1.1195133382730187,2.7524635776675207e-09,37305.51548322822,7.378167925075236e-14,-13.132051464573621,340,1.0,800.0
nphi_1_Lcut_800,4.124626382901364e-31,4211369702.025738,4211369702.025738,2.2228250441997607e+19,4714684553.816682,1.2533101145711985,1.1195133382730187,2.1210326769167817e-10,38462.49563845566,5.514547721641146e-15,-14.258490100639953,340,1.0,800.0
nphi_1_Lcut_800,7.0170382867038365e-31,-4840490436.70322,4840490436.70322,2.9365491719992648e+19,5418993607.672244,1.2533101145711985,1.1195133382730187,1.8453610991240031e-10,37581.06875917956,4.910347576725728e-15,-14.308887765451082,340,1.0,800.0
nphi_1_Lcut_800,1.1937766417144357e-30,4675447428.029609,4675447428.029609,2.739711928647934e+19,5234225758.073427,1.2533101145711985,1.1195133382730187,1.9105022332244078e-10,36772.881478621755,5.195410738576729e-15,-14.28438011231355,340,1.0,800.0
nphi_1_Lcut_800,2.0309176209047306e-30,-4015721579.3411074,4015721579.3411074,2.0210903726606934e+19,4495653870.863162,1.2533101145711985,1.1195133382730187,2.224370533686128e-10,37211.86999393767,5.9775833196464166e-15,-14.223474361676347,340,1.0,800.0
nphi_1_Lcut_800,3.4551072945922325e-30,-3750917803.223794,3750917803.223794,1.7633301732375994e+19,4199202511.474767,1.2533101145711985,1.1195133382730187,2.381404557811617e-10,36965.18567966107,6.442290263191915e-15,-14.190959711546343,340,1.0,800.0
nphi_1_Lcut_800,5.878016072274924e-30,5947875631.44551,5947875631.44551,4.433863332532501e+19,6658726103.792302,1.2533101145711985,1.1195133382730187,1.5017887572075932e-10,37669.446172067524,3.9867556065137816e-15,-14.39938038635808,340,1.0,800.0
nphi_1_Lcut_800,1e-29,5847092972.245209,5847092972.245209,4.284878812212444e+19,6545898572.5509405,1.2533101145711985,1.1195133382730187,1.5276741442241738e-10,37187.67859139466,4.108011583647715e-15,-14.386368340462493,340,1.0,800.0
