mass_eV,lambda_osc_Mpc,N_osc_full,N_osc_patchy
3.783462617131933e-31,923.9438914461712,5.4274419044811495,0.9998554994855893
4.198707084443906e-31,832.5675269335868,6.023117202629434,1.1095921366054697
4.659525668664668e-31,750.2281180942172,6.684169351800499,1.2313726435971226
5.170920242896777e-31,676.031926505925,7.417773624601709,1.3665188652454479
5.738441648302405e-31,609.1736028453166,8.231892797721356,1.5164977221003249
6.368249944718586e-31,548.9274453671696,9.135363582467813,1.6829371329040528
7.067181273927477e-31,494.6395229043428,10.137992541275565,1.867643684544844
7.842822061337649e-31,445.720576888592,11.2506625312875,2.0726222413318767
8.703591361485184e-31,401.6396253485739,12.485450830386144,2.3000977064372488
9.658832241158709e-31,361.9181994607906,13.855760227851176,2.5525391717104133
1.0718913192051264e-30,326.12515009509326,15.376464502544907,2.832686717995227
1.189534067370316e-30,293.8719679833884,17.064069867690794,3.1435811568485175
1.320088400831422e-30,264.8085667151015,18.936894134619987,3.488597036486613
1.4649713983072878e-30,238.61948278670383,21.015265540185617,3.871479270216767
1.6257556664437936e-30,215.02045145938592,23.321743395983532,4.296383784930636
1.804186409392068e-30,193.7553212581783,25.881362954374424,4.76792263087111
2.0022003718155926e-30,174.5932736214653,28.72190714916412,5.291214042308861
2.2219468609395283e-30,157.32631752209718,31.874208160500554,5.8719379925028585
2.4658110758226038e-30,141.76703186588665,35.37248207727346,6.516397845956925
2.7364399970746662e-30,127.74653116278834,39.254700289545426,7.231588777164933
3.036771118035448e-30,115.11263238947824,43.56300164223063,8.025273698484291
3.370064329271939e-30,103.72820314587877,48.34414982366894,8.906067521283141
3.7399373024788015e-30,93.46967317599324,53.65004095373573,9.88353066495842
4.1504047578504725e-30,84.2256930966041,59.53826688101801,10.96827282880285
4.605922041145094e-30,75.89592577526373,66.07274030325782,12.17206815309264
5.111433483440186e-30,68.3899572387911,73.32438849632732,13.507983019392517
5.6724260684919894e-30,61.62631529093379,81.37192318168772,14.990517877262699
6.294988990221888e-30,55.53158518694685,90.30269488872914,16.635764636802044
6.985879746785235e-30,50.039612766347,100.21364108550459,18.461581335414692
7.752597488629497e-30,45.09078639437998,111.21233836918282,20.487785974691104
8.603464416684527e-30,40.63138991816875,123.41817013702446,22.736371631369646
9.547716114208067e-30,36.61301961431374,136.96362241217247,25.231745177265026
1.0595601792776148e-29,32.99205879931512,151.9957218895485,28.000992199303063
1.1758495540521534e-29,29.729204400063455,168.67763181088117,31.074170995191473
1.304901978014407e-29,26.789040345645017,187.19042299100283,34.48463883584955
1.4481182276745359e-29,24.139653149919834,207.73503921869667,38.26941403595264
1.6070528182616383e-29,21.7522855122791,230.5344783652079,42.469577762625555
1.7834308769319058e-29,19.601024176657585,255.83621287484388,47.13071994364026
1.9791668678535493e-29,17.66251866071892,283.91487591046763,52.303434115152896
2.1963853724165515e-29,15.915727802211116,315.07524231016714,58.043866580215635
2.4374441501222218e-29,14.341691371425707,349.65553671134575,64.41432583880339
2.704959730463132e-29,12.923324270766399,388.03110474971817,71.48395890431257
3.0018358135756043e-29,11.645231087606085,430.6184871815365,79.32950184747932
3.3312947879346837e-29,10.49353898752755,477.8799411508991,88.0361127143661
3.696912707195032e-29,9.455747134116942,530.3284576774632,97.69829585918214
4.10265810582719e-29,8.520591000865714,588.5333298259276,108.42092772493234
4.5529350748669383e-29,7.6779201023773815,653.1263319960312,120.32039520605628
5.0526310653357e-29,6.918587817734792,724.8085774050597,133.52585894920884
5.60716993820547e-29,6.234352110135558,804.3581281961461,148.18065530445048
6.222570836730231e-29,5.617786065173795,892.6384407750129,164.44385214409033
6.905513520162316e-29,5.062197276723058,990.6077380434481,182.49197543652156
7.663410868007432e-29,4.561555205408052,1099.3294102588304,202.52092531584995
8.504489341802704e-29,4.110425721190927,1219.9835574139559,224.7481024449487
9.437878277775391e-29,3.703912119576487,1353.879798421815,249.41476775215742
1.0473708979594486e-28,3.3376019712067064,1502.4714861404786,276.78866115499324
1.162322468679859e-28,3.007519227933659,1667.3714825323625,307.1669076953108
1.2898902612533029e-28,2.7100810655143954,1850.3696651865687,340.8792426300443
1.4314589375234814e-28,2.442058994484185,2053.452355225977,378.2915904837504
1.5885651294280527e-28,2.2005438170939757,2278.823877475273,419.81003691103444
1.7629141180959444e-28,1.9829140499422464,2528.9304869116168,465.8852364808637
1.9563983435170728e-28,1.7868074695512475,2806.486921102781,517.0173042261702
2.17111794569451e-28,1.6100954720337712,3114.5058668416345,573.7612440532308
2.409403560239527e-28,1.4508599685419543,3456.330660817542,636.7329729325679
2.673841615839944e-28,1.3073725657141713,3835.6715792678465,706.6160062597961
2.9673024081888602e-28,1.1780758051376545,4256.6461105093185,784.1688769515355
3.2929712550971613e-28,1.0615662581940304,4723.823647480482,870.2333688056227
3.654383070957262e-28,0.9565792927938167,5242.275085401834,965.7436534931253
4.055460735840827e-28,0.8619753466529916,5817.627862903482,1071.7364303581087
4.500557675700488e-28,0.7767275581175404,6456.1270440535545,1189.3621790856719
