case_name,mass_eV,A_unit,Rtau_max_unit,L_peak,nphi,Lcut,phi_needed_target_0.1,phi_needed_target_1,phi_needed_target_10
nphi_2_no_cut,2.89426612471674e-29,-1429564348.450455,2.4601836588766725e+18,356,2.0,,2.0161193379690558e-10,6.375529142693007e-10,2.0161193379690555e-09
nphi_2_no_cut,4.923882631706752e-29,-1683875599.3636212,3.413344472449422e+18,356,2.0,,1.7116301993278722e-10,5.412649941804081e-10,1.7116301993278722e-09
nphi_2_no_cut,8.376776400682924e-29,-6996192547.614638,5.892283290699586e+19,356,2.0,,4.1196297960163724e-11,1.3027413272106592e-10,4.119629796016372e-10
nphi_2_no_cut,1.4251026703029963e-28,-905708374.6202744,9.87499486949034e+17,356,2.0,,3.18222996335931e-10,1.0063094722649584e-09,3.1822299633593094e-09
nphi_2_no_cut,2.4244620170823407e-28,-175776521.27101412,3.719476698003383e+16,356,2.0,,1.6396799225183955e-09,5.185123188806542e-09,1.6396799225183954e-08
nphi_2_no_cut,4.124626382901365e-28,5601892846.67588,3.777719487289927e+19,356,2.0,,5.144997247657735e-11,1.6269909857895852e-10,5.144997247657734e-10
nphi_2_no_cut,7.017038286703837e-28,6999751049.4014,5.89827884697355e+19,356,2.0,,4.117535477248967e-11,1.3020790454655156e-10,4.1175354772489674e-10
nphi_2_no_cut,1.1937766417144358e-27,10127134845.424482,1.2346199695963944e+20,356,2.0,,2.8459898794418477e-11,8.999810216824254e-11,2.8459898794418474e-10
nphi_2_no_cut,2.0309176209047306e-27,11050048439.7749,1.4699023201304175e+20,356,2.0,,2.6082893151921857e-11,8.248135032688129e-11,2.608289315192186e-10
nphi_2_no_cut,3.455107294592232e-27,-4336727160.012378,2.264041126205206e+19,356,2.0,,6.645961854270466e-11,2.1016376702090713e-10,6.645961854270466e-10
nphi_2_no_cut,5.878016072274924e-27,13935403275.476799,2.3377560749064772e+20,356,2.0,,2.068237474586814e-11,6.540341161808949e-11,2.0682374745868143e-10
nphi_2_no_cut,1e-26,-2632126036.501822,8.340142557438242e+18,356,2.0,,1.0949978412175858e-10,3.462687211214974e-10,1.0949978412175858e-09
nphi_2_Lcut_800,1e-35,-195.4023529707972,56349.54980622341,366,2.0,800.0,0.0013321550475226284,0.004212644146661353,0.013321550475226283
nphi_2_Lcut_800,1.7012542798525996e-35,-565.5464092138668,472027.5762023953,366,2.0,800.0,0.0004602738635891656,0.0014555137563874063,0.004602738635891656
nphi_2_Lcut_800,2.89426612471674e-35,-1636.841689175934,3954068.8570459746,366,2.0,800.0,0.00015902957050104008,0.0005028956581016113,0.0015902957050104008
nphi_2_Lcut_800,4.923882631706751e-35,-4737.453435648046,33122322.48629164,366,2.0,800.0,5.4946446301532446e-05,0.00017375591964497749,0.0005494644630153244
nphi_2_Lcut_800,8.376776400682855e-35,-13711.444315491368,277458018.9630926,366,2.0,800.0,1.8984595992834132e-05,6.0034563795461504e-05,0.0001898459599283413
nphi_2_Lcut_800,1.4251026703029962e-34,-39684.51261272217,2324197203.6183524,366,2.0,800.0,6.559390897606642e-06,2.0742615299813296e-05,6.559390897606642e-05
nphi_2_Lcut_800,2.4244620170823406e-34,-114857.09003181722,19469127559.641983,366,2.0,800.0,2.2663488230089828e-06,7.166824253150207e-06,2.2663488230089827e-05
nphi_2_Lcut_800,4.124626382901331e-34,-332423.1709979325,163084786144.37222,366,2.0,800.0,7.830568188926419e-07,2.476243085026718e-06,7.830568188926418e-06
nphi_2_Lcut_800,7.017038286703837e-34,-962089.1741456378,1366034060747.9873,366,2.0,800.0,2.7056351719060243e-07,8.555969660684252e-07,2.705635171906024e-06
nphi_2_Lcut_800,1.1937766417144455e-33,-2784274.4947711197,11440762516074.012,366,2.0,800.0,9.349158328200113e-08,2.956463452264437e-07,9.349158328200112e-07
nphi_2_Lcut_800,2.0309176209047304e-33,-8056189.936164844,95783403776714.95,366,2.0,800.0,3.231133238794575e-08,1.0217740458067587e-07,3.2311332387945755e-07
nphi_2_Lcut_800,3.4551072945922324e-33,-23297989.099123534,801064983439679.5,366,2.0,800.0,1.1172905511301764e-08,3.5331829497561735e-08,1.1172905511301763e-07
nphi_2_Lcut_800,5.878016072274876e-33,-67273536.76029076,6679122261991139.0,366,2.0,800.0,3.869370384604122e-09,1.2236023526150743e-08,3.8693703846041214e-08
nphi_2_Lcut_800,1e-32,-193396254.40762478,5.519846362530325e+16,366,2.0,800.0,1.3459734864316122e-09,4.256341887321634e-09,1.3459734864316121e-08
nphi_2_Lcut_800,1.7012542798525856e-32,-548858730.8604189,4.445821550466965e+17,366,2.0,800.0,4.742681789898403e-10,1.4997676673483103e-09,4.7426817898984035e-09
nphi_2_Lcut_800,2.89426612471674e-32,-1499842672.2617881,3.3198792188008714e+18,366,2.0,800.0,1.7355569062140336e-10,5.488312832471585e-10,1.7355569062140335e-09
nphi_2_Lcut_800,4.9238826317067517e-32,-3654765863.9638386,1.9712876104030335e+19,366,2.0,800.0,7.122377752689366e-11,2.252293605460985e-10,7.122377752689366e-10
nphi_2_Lcut_800,8.376776400682924e-32,-6040875794.899543,5.385557726780687e+19,366,2.0,800.0,4.309080994971434e-11,1.3626510566254297e-10,4.3090809949714344e-10
nphi_2_Lcut_800,1.4251026703029963e-31,456820772.20893806,3.079800320138575e+17,366,2.0,800.0,5.698213536769479e-10,1.8019333370195175e-09,5.6982135367694796e-09
nphi_2_Lcut_800,2.4244620170823406e-31,-324525738.507442,1.5542796697015523e+17,366,2.0,800.0,8.021127446009231e-10,2.5365032131878438e-09,8.02112744600923e-09
nphi_2_Lcut_800,4.124626382901364e-31,4211369702.025738,2.6174452688943305e+19,366,2.0,800.0,6.181034894244364e-11,1.9546148562790173e-10,6.181034894244364e-10
nphi_2_Lcut_800,7.0170382867038365e-31,-4840490436.70322,3.457877513653878e+19,366,2.0,800.0,5.3776829891876844e-11,1.7005726780175725e-10,5.377682989187684e-10
nphi_2_Lcut_800,1.1937766417144357e-30,4675447428.029609,3.2260955690080166e+19,366,2.0,800.0,5.567514870283711e-11,1.760602789695343e-10,5.567514870283711e-10
nphi_2_Lcut_800,2.0309176209047306e-30,-4015721579.3411074,2.379896451019652e+19,366,2.0,800.0,6.4821782502799e-11,2.049844747008948e-10,6.4821782502799e-10
nphi_2_Lcut_800,3.4551072945922325e-30,-3750917803.223794,2.076375840502091e+19,366,2.0,800.0,6.939800989083814e-11,2.194557763379417e-10,6.939800989083815e-10
nphi_2_Lcut_800,5.878016072274924e-30,5947875631.44551,5.221011268045751e+19,366,2.0,800.0,4.376457191398665e-11,1.3839572807043246e-10,4.3764571913986647e-10
nphi_2_Lcut_800,1e-29,5847092972.245209,5.0455773854431674e+19,366,2.0,800.0,4.451891427816505e-11,1.4078116807679243e-10,4.451891427816505e-10
nphi_2_Lcut_800,1.7012542798525858e-29,3012473655.0639086,1.339298516362332e+19,366,2.0,800.0,8.64094629907472e-11,2.732507144427862e-10,8.64094629907472e-10
nphi_2_Lcut_800,2.89426612471674e-29,-1429564348.450455,3.016048287120806e+18,366,2.0,800.0,1.8208780254627853e-10,5.758121901812475e-10,1.8208780254627852e-09
nphi_2_Lcut_800,4.923882631706752e-29,-1683875599.3636212,4.184570413001195e+18,366,2.0,800.0,1.5458756627046677e-10,4.888488073568959e-10,1.5458756627046675e-09
nphi_2_Lcut_800,8.376776400682924e-29,-6996192547.614638,7.223611482022245e+19,366,2.0,800.0,3.72068420124597e-11,1.1765836530141558e-10,3.7206842012459696e-10
nphi_2_Lcut_800,1.4251026703029963e-28,-905708374.6202744,1.2106194289190712e+18,366,2.0,800.0,2.8740623152234987e-10,9.08858305336308e-10,2.8740623152234984e-09
nphi_2_Lcut_800,2.4244620170823407e-28,-175776521.27101412,4.559871489074552e+16,366,2.0,800.0,1.4808930619721551e-09,4.682995046972893e-09,1.480893061972155e-08
nphi_2_Lcut_800,4.124626382901365e-28,5601892846.67588,4.631273908252081e+19,366,2.0,800.0,4.646754908250511e-11,1.4694329238638359e-10,4.646754908250511e-10
nphi_2_Lcut_800,7.017038286703837e-28,6999751049.4014,7.230961700435891e+19,366,2.0,800.0,3.718792696636068e-11,1.175985506736956e-10,3.7187926966360676e-10
nphi_2_Lcut_800,1.1937766417144358e-27,10127134845.424482,1.5135753914594276e+20,366,2.0,800.0,2.5703837737033207e-11,8.128267185641306e-11,2.5703837737033203e-10
