mass_eV,m_res_fid_eV,mass_over_mres,g_GeV_inv,phi_unit,dphi_dx_unit,rho_unit_GeV4,rho_dm_GeV4,phi_amp_max_nat_GeV,A_unit_old_mixed,A_eff_old_mixed,Aeff_over_Aunit,A_unit_nat,A_eff_nat,A_tau_unit_physical,A_tau_eff_physical,lambda_osc_Mpc,N_osc_patchy
6.450562483237351e-30,1.0239629671677533e-29,0.629960524947439,1.4e-12,-0.002251316284786952,1.4137633241196517,5.364428428845133e-82,7.167748933117039e-62,11559250214.439426,5359682665.37063,-576871722.9408706,-0.10763169369486898,17.87797698823574,-1.9242369430817055,0.14465920653450498,-0.01556991540786463,54.19228451314216,17.046898638394506
6.450562483237351e-30,1.0239629671677533e-29,0.629960524947439,4e-12,-0.002251316284786952,1.4137633241196517,5.364428428845133e-82,7.167748933117039e-62,11559250214.439426,5359682665.37063,-576871722.9408706,-0.10763169369486898,17.87797698823574,-1.9242369430817055,0.4133120186700142,-0.04448547259389894,54.19228451314216,17.046898638394506
6.755636177581676e-30,1.0239629671677533e-29,0.6597539553864469,1.4e-12,0.0004936455450139973,-1.5690602581835769,5.364426609855673e-82,7.167748933117039e-62,11559252174.21575,-5948424975.548979,-262263969.5912137,0.04408964905319486,-19.841809948230843,-0.8748184371976884,-0.16054953934912417,-0.007078572845554984,51.7450478640985,17.853116756309436
6.755636177581676e-30,1.0239629671677533e-29,0.6597539553864469,4e-12,0.0004936455450139973,-1.5690602581835769,5.364426609855673e-82,7.167748933117039e-62,11559252174.21575,-5948424975.548979,-262263969.5912137,0.04408964905319486,-19.841809948230843,-0.8748184371976884,-0.45871296956892615,-0.020224493844442807,51.7450478640985,17.853116756309436
7.07513806469572e-30,1.0239629671677533e-29,0.6909564399838903,1.4e-12,0.003051831411083545,1.183611981983939,5.352007343607326e-82,7.167748933117039e-62,11572655953.102047,4487161686.921365,253125737.337233,0.056411102384612805,14.967560281057384,0.8443365754625921,0.12125009791299474,0.006839851687514274,49.4083244969769,18.697464252913395
7.07513806469572e-30,1.0239629671677533e-29,0.6909564399838903,4e-12,0.003051831411083545,1.183611981983939,5.352007343607326e-82,7.167748933117039e-62,11572655953.102047,4487161686.921365,253125737.337233,0.056411102384612805,14.967560281057384,0.8443365754625921,0.34642885117998495,0.019542433392897924,49.4083244969769,18.697464252913395
7.409750513300298e-30,1.0239629671677533e-29,0.7236346187201883,1.4e-12,-0.003983874732118457,0.6987382567643357,5.409814164124404e-82,7.167748933117039e-62,11510659816.301655,2648969073.195556,95936465.17327945,0.036216528967455065,8.836009721083633,0.32000960202033996,0.07119581142304972,0.0025784651667643483,47.17712380921996,19.58174442372487
7.409750513300298e-30,1.0239629671677533e-29,0.7236346187201883,4e-12,-0.003983874732118457,0.6987382567643357,5.409814164124404e-82,7.167748933117039e-62,11510659816.301655,2648969073.195556,95936465.17327945,0.036216528967455065,8.836009721083633,0.32000960202033996,0.20341660406585632,0.0073670433336124235,47.17712380921996,19.58174442372487
7.760188164146554e-30,1.0239629671677533e-29,0.7578582832552012,1.4e-12,-0.0027159226783826053,-1.211796518263099,5.387493606697319e-82,7.167748933117039e-62,11534479685.111591,-4594011375.23181,-361631025.8562555,0.07871792129335071,-15.323972477092164,-1.2062712593532137,-0.12372783446256012,-0.009739597935020534,45.04668056587571,20.50784584954272
7.760188164146554e-30,1.0239629671677533e-29,0.7578582832552012,4e-12,-0.0027159226783826053,-1.211796518263099,5.387493606697319e-82,7.167748933117039e-62,11534479685.111591,-4594011375.23181,-361631025.8562555,0.07871792129335071,-15.323972477092164,-1.2062712593532137,-0.3535080984644574,-0.027827422671487235,45.04668056587571,20.50784584954272
