mass_eV,tau,delta_y,b,Rbar_Mpc,siglnR,A_model,z_re,Reff_Mpc,L_peak_surrogate,siglnL_surrogate,D_peak_surrogate,A_tau_eff,max_patchy_budget_fraction,L_at_max_fraction,min_scale_factor_to_fit
5.878016072274924e-27,0.068,19.0,1.0,8.0,0.693,0.07,9.593704306315757,54.622044226397186,174.6311924263052,0.693,2.5e-05,202027735414180.88,7.382886027837864e+27,100,1.3544838647507305e-28
1e-26,0.068,19.0,1.0,8.0,0.693,0.07,9.593704306315757,54.622044226397186,174.6311924263052,0.693,2.5e-05,-33906827797664.184,2.079593703891345e+26,100,4.808631600147642e-27
2.0309176209047306e-27,0.068,19.0,2.0,5.0,0.409,0.07,9.593704306315757,9.762630791707863,977.0637566382278,0.409,5e-05,200280650500282.38,3.613027322749559e+21,100,2.767762075042896e-22
5.878016072274924e-27,0.068,19.0,2.0,5.0,0.409,0.07,9.593704306315757,9.762630791707863,977.0637566382278,0.409,5e-05,202027735414180.88,3.6763364546028435e+21,100,2.7200992410473774e-22
1e-26,0.068,19.0,2.0,5.0,0.409,0.07,9.593704306315757,9.762630791707863,977.0637566382278,0.409,5e-05,-33906827797664.184,1.0355416723962736e+20,100,9.65678182400879e-21
2.0309176209047306e-27,0.068,19.0,2.0,5.0,0.541,0.07,9.593704306315757,16.121631029241158,591.6716924433363,0.541,5e-05,200280650500282.38,9.065450532107273e+25,100,1.1030891365611468e-26
5.878016072274924e-27,0.068,19.0,2.0,5.0,0.541,0.07,9.593704306315757,16.121631029241158,591.6716924433363,0.541,5e-05,202027735414180.88,9.224299539263369e+25,100,1.0840931560640297e-26
1e-26,0.068,19.0,2.0,5.0,0.541,0.07,9.593704306315757,16.121631029241158,591.6716924433363,0.541,5e-05,-33906827797664.184,2.5982786639708927e+24,100,3.848701888163611e-25
2.0309176209047306e-27,0.068,19.0,2.0,5.0,0.693,0.07,9.593704306315757,34.138777641498244,279.4099078820883,0.693,5e-05,200280650500282.38,6.681483980577085e+27,100,1.496673497844156e-28
5.878016072274924e-27,0.068,19.0,2.0,5.0,0.693,0.07,9.593704306315757,34.138777641498244,279.4099078820883,0.693,5e-05,202027735414180.88,6.798560025819958e+27,100,1.4708997143544266e-28
